secOrder,section,sortOrder,varCode,varLabel,unit,source,notes
1,sampling,1,hhid,unique hhld identifier,,raw data,
1,sampling,2,clust,unique cluster identifier,,raw data,
1,sampling,3,svyCode,survey code,"gha-glss4, gha-glss5, gha-glss6, tza-nps-2008, tza-nps-2010, tza-nps-2012, tza-nps-14, eth-ess-2015, eth-ess-2013, eth-erss-2011",calculated,
1,sampling,4,wave,survey round,"wave 1, wave 2, etc.",calculated,
1,sampling,5,survey,survey short label (for printing),,calculated,
1,sampling,6,year,survey year,integer,raw data,
1,sampling,7,month,survey month,integer,raw data,
1,sampling,8,strata,unique strata identifier,integer,raw data,
1,sampling,10,zone,other stratification,,raw data,
1,sampling,11,weight,replication weight (by wave),decimal,raw data,
1,sampling,12,nh,hhld identifier (used in raw data),,raw data,
1,sampling,13,rural,locality,"rural, urban",raw data,
2,geography,3,svyL1Cd,level-1 admin unit code (linked to survey map),integer,calculated,
2,geography,4,svyL1Nm,level-1 admin unit label (linked to survey map),label,calculated,
2,geography,5,svyL2Cd,level-2 admin unit code (linked to survey map),integer,calculated,
2,geography,6,svyL2Nm,level-2 admin unit label (linked to survey map),label,calculated,
2,geography,7,svyL3Cd,level-3 admin unit code (linked to survey map),integer,calculated,
2,geography,8,svyL3Nm,level-3 admin unit label (linked to survey map),label,calculated,
2,geography,9,X,hhld GPS longitude,decimal,raw data,
2,geography,10,Y,hhld GPS latitude,decimal,raw data,
2,geography,11,lon_dd_mod,anonymized longitude,decimal,raw data,
2,geography,12,lat_dd_mod,anonymized latitude,decimal,raw data,
2,geography,13,region,region ID used in RIGA,varies by country,RIGA,
2,geography,14,district,district ID used in RIGA,varies by country,RIGA,
2,geography,15,ward,ward ID used in raw data,varies by country,raw data,
2,geography,16,ez,agroecological zone,label,RIGA,
2,geography,17,lc_esa,"ESA land cover classification, dominant",code,calculated,
2,geography,18,suit_gaez,"FAO/GAEZ suitability, 9-class","0-no data, 1-very high (> 85%), 2-high (> 70%), 3-good (> 55%), 4-medium (> 40%), 5-moderate (> 25%), 6-marginal (> 10%), 7-very marginal (> 0%), 8-not suitable (0%), 9-water",calculated,
2,geography,19,suit_glues,"GLUES suitability (point, mean, or median)",,calculated,
2,geography,20,cell5m,HarvestChoice 5-arc-minute grid CELL5M ID,integer,calculated,
3,demographics,1,hhsize,hh size,person,RIGA,
3,demographics,2,msize,number of males in the hh,person,RIGA,
3,demographics,3,fsize,number of females in the hh,person,RIGA,
3,demographics,4,femhead,female headed hh,"0,1",RIGA,
3,demographics,5,snghead,single head of hh,"0,1",RIGA,
3,demographics,6,widowhead,female head of hh widow,"0,1",RIGA,
3,demographics,7,marriedhead,head of hh married,"0,1",RIGA,
3,demographics,8,agehead,age head of hh,years,RIGA,
3,demographics,9,educhead,years of education head of hh,years,RIGA,
3,demographics,10,educhigh,highest years of education in hh,years,RIGA,
3,demographics,11,educadult,"ave years of education among hh members, >15 yrs",years,RIGA,
3,demographics,12,educave15_60,"ave years of education among hh members, 15-60 yrs",years,RIGA,
3,demographics,13,educave,ave years of education in hh,years,RIGA,
3,demographics,14,hhlabor,hh labor age >14 but <60 yrs,person,RIGA,
3,demographics,15,mlabor,hh male labor age >14 but <60 yrs,person,RIGA,
3,demographics,16,mlaborshare,hh share of male labor,"share, 0-1",RIGA,
3,demographics,17,flabor,hh female labor age >14 but <60 yrs,person,RIGA,
3,demographics,18,flaborshare,hh share of female labor,"share, 0-1",RIGA,
4,assets,1,brickwalls,dwelling has brick walls,"0,1",RIGA,
4,assets,2,cellphone,household has mobile phone,"0,1",RIGA,
4,assets,3,cementfloor,dwelling has cement floors,"0,1",RIGA,
4,assets,4,electricity,household has electricity,"0,1",RIGA,
4,assets,5,hhmignet,household migration network,"0,1",RIGA,
4,assets,6,nondirtfloor,dwelling has non-dirt floors,"0,1",RIGA,
4,assets,7,ownhome,household owns dwelling,"0,1",RIGA,
4,assets,8,runwater,household has internal running water,"0,1",RIGA,
4,assets,9,safewater,household has safe drinking water,"0,1",RIGA,
4,assets,10,telephone,household has fixed telephone line,"0,1",RIGA,
4,assets,11,toilet,household has toilet,"0,1",RIGA,
4,assets,21,landless,hh is landless,"0,1",RIGA,
4,assets,22,landown,land owned,ha,RIGA,
4,assets,23,landrent,land rented out by hh,ha,RIGA,
4,assets,24,ilandown,hectares of irrigated land owned,ha,RIGA,
4,assets,25,rlandown,hectares of rain-fed land owned,ha,RIGA,
4,assets,26,landshare,land sharecropped out by hh,ha,RIGA,
4,assets,27,landquint,land ownership quintiles,"qtl, 1-5",RIGA,
4,assets,31,TLU_cattle,tropical livestock units: cattle,TLU,RIGA,
4,assets,32,TLU_horse,tropical livestock units: horses,TLU,RIGA,
4,assets,33,TLU_pigs,tropical livestock units: pigs,TLU,RIGA,
4,assets,34,TLU_sheep,"tropical livestock units: sheep, goats",TLU,RIGA,
4,assets,35,TLU_small,"tropical livestock units: chicken, rabbits, other poultry",TLU,RIGA,
4,assets,36,TLU_total,tropical livestock units: total,TLU,RIGA,
4,assets,37,TLU_draft,Tropical Livestock Units: draft,TLU,RIGA,
4,assets,41,wealth,RURAL: wealth index,index,RIGA,
4,assets,42,agwealth,agricultural wealth index,index,RIGA,
5,income,1,agmisc,value total annual agricultural production - misc. uses,lcu,RIGA,
5,income,2,agowncons,value total annual agricultural production consumed,lcu,RIGA,
5,income,3,agr_wge,"wage employment - agr, fishing",lcu,RIGA,
5,income,4,farmrntimp,"annual income received from rental of farm real estate assets, imputed",lcu,RIGA,
5,income,5,nonagr_wge,wage employment - non-farm activities,lcu,RIGA,
5,income,6,nonfarmrntimp,"annual income received from non-farm real estate assets, imputed",lcu,RIGA,
