varCode,varLabel,svyCode,fName
ea_id,EA ID,ETH-ERSS-11,ETH-ERSS-11/raw/COM/sect1a_com_w1.dta
rural,EA rural urban indicator,ETH-ERSS-11,ETH-ERSS-11/raw/COM/sect1a_com_w1.dta
sa1q01,Region Code,ETH-ERSS-11,ETH-ERSS-11/raw/COM/sect1a_com_w1.dta
sa1q02,Zone Code,ETH-ERSS-11,ETH-ERSS-11/raw/COM/sect1a_com_w1.dta
sa1q03,Woreda Code,ETH-ERSS-11,ETH-ERSS-11/raw/COM/sect1a_com_w1.dta
sa1q04,Town Code,ETH-ERSS-11,ETH-ERSS-11/raw/COM/sect1a_com_w1.dta
sa1q05,Subcity Code,ETH-ERSS-11,ETH-ERSS-11/raw/COM/sect1a_com_w1.dta
sa1q06,Kebele/FA Code,ETH-ERSS-11,ETH-ERSS-11/raw/COM/sect1a_com_w1.dta
sa1q07,EA,ETH-ERSS-11,ETH-ERSS-11/raw/COM/sect1a_com_w1.dta
cs1aq8_a,Supervisor Code,ETH-ERSS-11,ETH-ERSS-11/raw/COM/sect1a_com_w1.dta
cs1aq8_b,Supervisor Date (Day),ETH-ERSS-11,ETH-ERSS-11/raw/COM/sect1a_com_w1.dta
cs1aq8_c,Supervisor Date (Month),ETH-ERSS-11,ETH-ERSS-11/raw/COM/sect1a_com_w1.dta
cs1aq8_d,Supervisor Date (Year),ETH-ERSS-11,ETH-ERSS-11/raw/COM/sect1a_com_w1.dta
cs1aq9_a,Coordinator/Statistician Code,ETH-ERSS-11,ETH-ERSS-11/raw/COM/sect1a_com_w1.dta
cs1aq9_b,Coordinator/Statistician Date (Day),ETH-ERSS-11,ETH-ERSS-11/raw/COM/sect1a_com_w1.dta
cs1aq9_c,Coordinator/Statistician Date (Month),ETH-ERSS-11,ETH-ERSS-11/raw/COM/sect1a_com_w1.dta
cs1aq9_d,Coordinator/Statistician Date (Year),ETH-ERSS-11,ETH-ERSS-11/raw/COM/sect1a_com_w1.dta
cs1aq10_a,Data Editor 1 Code,ETH-ERSS-11,ETH-ERSS-11/raw/COM/sect1a_com_w1.dta
cs1aq10_b,Data Editor 1 Date (Day),ETH-ERSS-11,ETH-ERSS-11/raw/COM/sect1a_com_w1.dta
cs1aq10_c,Data Editor 1 Date (Month),ETH-ERSS-11,ETH-ERSS-11/raw/COM/sect1a_com_w1.dta
cs1aq10_d,Data Editor 1 Date (Year),ETH-ERSS-11,ETH-ERSS-11/raw/COM/sect1a_com_w1.dta
cs1aq11_a,Data Editor 2 Code,ETH-ERSS-11,ETH-ERSS-11/raw/COM/sect1a_com_w1.dta
cs1aq11_b,Data Editor 2 Date (Day),ETH-ERSS-11,ETH-ERSS-11/raw/COM/sect1a_com_w1.dta
cs1aq11_c,Date Editor 2 Date (Month),ETH-ERSS-11,ETH-ERSS-11/raw/COM/sect1a_com_w1.dta
cs1aq11_d,Data Editor 2 Date (Year),ETH-ERSS-11,ETH-ERSS-11/raw/COM/sect1a_com_w1.dta
