varCode,varLabel,svyCode,fName
ea_id,Unique EA Identfier,TZA-NPS-08,EA.Offsets.dta
lat_modified,EA Latitude Modified,TZA-NPS-08,EA.Offsets.dta
lon_modified,EA Longitude Modified,TZA-NPS-08,EA.Offsets.dta
hhid,Unique HH Identifier,TZA-NPS-08,HH.Geovariables_Y1.dta
ea_id,Unique EA Identfier,TZA-NPS-08,HH.Geovariables_Y1.dta
lat_modified,EA Latitude Modified,TZA-NPS-08,HH.Geovariables_Y1.dta
lon_modified,EA Longitude Modified,TZA-NPS-08,HH.Geovariables_Y1.dta
dist02,HH Distance in (KMs) to Nearest Major Road,TZA-NPS-08,HH.Geovariables_Y1.dta
dist03,"HH Distance in (KMs) to Nearest Population Center with +20,000",TZA-NPS-08,HH.Geovariables_Y1.dta
dist04,HH Distance in (KMs) to Nearest Market,TZA-NPS-08,HH.Geovariables_Y1.dta
dist05,HH Distance in (KMs) to Nearest Border Crossing,TZA-NPS-08,HH.Geovariables_Y1.dta
dist06,HH Distance in (KMs) to Headquarters of District of Residence,TZA-NPS-08,HH.Geovariables_Y1.dta
clim01,Annual Mean Temperature (°C * 10),TZA-NPS-08,HH.Geovariables_Y1.dta
clim02,Mean Temperature of Wettest Quarter (°C * 10),TZA-NPS-08,HH.Geovariables_Y1.dta
clim03,Annual Precipitation (mm),TZA-NPS-08,HH.Geovariables_Y1.dta
clim04,Precipitation of Wettest Month (mm),TZA-NPS-08,HH.Geovariables_Y1.dta
clim05,Precipitation of Wettest Quarter,TZA-NPS-08,HH.Geovariables_Y1.dta
land01,Percent agriculture within approx 1 km buffer,TZA-NPS-08,HH.Geovariables_Y1.dta
land02,Majority landcover class within approx 1 km buffer,TZA-NPS-08,HH.Geovariables_Y1.dta
land03,Agro-ecological Zones ,TZA-NPS-08,HH.Geovariables_Y1.dta
soil01,Elevation (m),TZA-NPS-08,HH.Geovariables_Y1.dta
soil02,Slope (percent),TZA-NPS-08,HH.Geovariables_Y1.dta
soil03,Potential Wetness Index,TZA-NPS-08,HH.Geovariables_Y1.dta
soil04,Terrain Roughness,TZA-NPS-08,HH.Geovariables_Y1.dta
soil05,Nutrient availability,TZA-NPS-08,HH.Geovariables_Y1.dta
soil06,Nutrient retention capacity,TZA-NPS-08,HH.Geovariables_Y1.dta
soil07,Rooting conditions,TZA-NPS-08,HH.Geovariables_Y1.dta
soil08,Oxygen availability to roots,TZA-NPS-08,HH.Geovariables_Y1.dta
soil09,Excess salts,TZA-NPS-08,HH.Geovariables_Y1.dta
soil10,Toxicity,TZA-NPS-08,HH.Geovariables_Y1.dta
