X,Y,y3_hhid,lat_mod,lon_mod,DN,Label,Description
34.75062,-4.82929,0297-001,-4.82929,34.75062,100,Unsuit,Unsuitable for crops
38.64593,-4.70836,0339-002,-4.70836,38.64593,100,Unsuit,Unsuitable for crops
38.64593,-4.70836,0339-007,-4.70836,38.64593,100,Unsuit,Unsuitable for crops
38.64593,-4.70836,0340-001,-4.70836,38.64593,100,Unsuit,Unsuitable for crops
38.64593,-4.70836,0341-001,-4.70836,38.64593,100,Unsuit,Unsuitable for crops
38.64593,-4.70836,0342-001,-4.70836,38.64593,100,Unsuit,Unsuitable for crops
38.64593,-4.70836,0343-001,-4.70836,38.64593,100,Unsuit,Unsuitable for crops
38.64593,-4.70836,0344-001,-4.70836,38.64593,100,Unsuit,Unsuitable for crops
38.64593,-4.70836,0344-008,-4.70836,38.64593,100,Unsuit,Unsuitable for crops
38.64593,-4.70836,0345-001,-4.70836,38.64593,100,Unsuit,Unsuitable for crops
38.64593,-4.70836,0346-001,-4.70836,38.64593,100,Unsuit,Unsuitable for crops
38.64593,-4.70836,0346-003,-4.70836,38.64593,100,Unsuit,Unsuitable for crops
38.64593,-4.70836,0346-004,-4.70836,38.64593,100,Unsuit,Unsuitable for crops
38.59898,-5.07731,0384-001,-5.07731,38.59898,100,Unsuit,Unsuitable for crops
38.59898,-5.07731,0385-001,-5.07731,38.59898,100,Unsuit,Unsuitable for crops
38.59898,-5.07731,0386-001,-5.07731,38.59898,100,Unsuit,Unsuitable for crops
38.59898,-5.07731,0387-001,-5.07731,38.59898,100,Unsuit,Unsuitable for crops
38.59898,-5.07731,0388-001,-5.07731,38.59898,100,Unsuit,Unsuitable for crops
38.59898,-5.07731,0389-001,-5.07731,38.59898,100,Unsuit,Unsuitable for crops
38.59898,-5.07731,0390-001,-5.07731,38.59898,100,Unsuit,Unsuitable for crops
38.59898,-5.07731,0391-001,-5.07731,38.59898,100,Unsuit,Unsuitable for crops
38.59898,-5.07731,0391-003,-5.07731,38.59898,100,Unsuit,Unsuitable for crops
38.59898,-5.07731,0393-001,-5.07731,38.59898,100,Unsuit,Unsuitable for crops
38.59898,-5.07731,0394-002,-5.07731,38.59898,100,Unsuit,Unsuitable for crops
37.55692,-5.49977,0458-001,-5.49977,37.55692,100,Unsuit,Unsuitable for crops
37.55692,-5.49977,0459-001,-5.49977,37.55692,100,Unsuit,Unsuitable for crops
37.55692,-5.49977,0460-001,-5.49977,37.55692,100,Unsuit,Unsuitable for crops
37.55692,-5.49977,0461-001,-5.49977,37.55692,100,Unsuit,Unsuitable for crops
37.55692,-5.49977,0462-001,-5.49977,37.55692,100,Unsuit,Unsuitable for crops
37.55692,-5.49977,0463-001,-5.49977,37.55692,100,Unsuit,Unsuitable for crops
37.55692,-5.49977,0464-001,-5.49977,37.55692,100,Unsuit,Unsuitable for crops
37.55692,-5.49977,0465-001,-5.49977,37.55692,100,Unsuit,Unsuitable for crops
37.55692,-5.49977,0465-005,-5.49977,37.55692,100,Unsuit,Unsuitable for crops
37.55692,-5.49977,0466-001,-5.49977,37.55692,100,Unsuit,Unsuitable for crops
37.55692,-5.49977,0467-001,-5.49977,37.55692,100,Unsuit,Unsuitable for crops
37.55692,-5.49977,0468-001,-5.49977,37.55692,100,Unsuit,Unsuitable for crops
37.11821,-6.36898,0479-001,-6.36898,37.11821,100,Unsuit,Unsuitable for crops
36.97196,-6.34442,0484-009,-6.34442,36.97196,100,Unsuit,Unsuitable for crops
36.67547,-8.13457,0517-011,-8.13457,36.67547,100,Unsuit,Unsuitable for crops
36.75758,-8.75044,0528-002,-8.75044,36.75758,100,Unsuit,Unsuitable for crops
38.75555,-10.38291,0542-005,-10.38291,38.75555,100,Unsuit,Unsuitable for crops
38.99344,-7.53756,0638-001,-7.53756,38.99344,100,Unsuit,Unsuitable for crops
39.10777,-7.64157,0642-001,-7.64157,39.10777,100,Unsuit,Unsuitable for crops
39.23478,-7.42548,0642-002,-7.42548,39.23478,100,Unsuit,Unsuitable for crops
31.80693,-1.32676,0880-001,-1.32676,31.80693,100,Unsuit,Unsuitable for crops
34.75199,-4.83054,0974-001,-4.83054,34.75199,100,Unsuit,Unsuitable for crops
39.21326,-6.97009,1171-102,-6.97009,39.21326,100,Unsuit,Unsuitable for crops
39.21453,-6.98095,1185-001,-6.98095,39.21453,100,Unsuit,Unsuitable for crops
38.93045,-7.92366,1302-001,-7.92366,38.93045,100,Unsuit,Unsuitable for crops
38.95226,-8.37592,1324-003,-8.37592,38.95226,100,Unsuit,Unsuitable for crops
39.24439,-10.11432,1381-001,-10.11432,39.24439,100,Unsuit,Unsuitable for crops
39.24439,-10.11432,1382-001,-10.11432,39.24439,100,Unsuit,Unsuitable for crops
39.24439,-10.11432,1384-001,-10.11432,39.24439,100,Unsuit,Unsuitable for crops
39.24439,-10.11432,1384-003,-10.11432,39.24439,100,Unsuit,Unsuitable for crops
39.24439,-10.11432,1385-001,-10.11432,39.24439,100,Unsuit,Unsuitable for crops
39.24439,-10.11432,1386-001,-10.11432,39.24439,100,Unsuit,Unsuitable for crops
