household_id,hc_seq_5m,res03_crav6190l_silr_cer
01010101601002,3920854,4
01010101601017,3920854,4
01010101601034,3920854,4
01010101601049,3920854,4
01010101601064,3920854,4
01010101601080,3920854,4
01010101601087,3920854,4
01010101601101,3920854,4
01010101601116,3920854,4
01010101601131,3920854,4
01010101601146,3920854,4
01010101601162,3920854,4
01010201403001,3929498,5
01010201403011,3929498,5
01010201403016,3929498,5
01010201403026,3929498,5
01010201403031,3929498,5
01010201403036,3929498,5
01010201403046,3929498,5
01010201403061,3929498,5
01010201403091,3929498,5
01010201403106,3929498,5
01010201403121,3929498,5
01010201403136,3929498,5
01010300106004,3933821,5
01010300106016,3933821,5
01010300106028,3933821,5
01010300106040,3933821,5
01010300106052,3933821,5
01010300106064,3933821,5
01010300106076,3933821,5
01010300106088,3933821,5
01010300106100,3933821,5
01010300106112,3933821,5
01010300106124,3933821,5
01010300106136,3933821,5
01010301804004,3946781,6
01010301804019,3946781,6
01010301804034,3946781,6
01010301804049,3946781,6
01010301804051,3946781,6
01010301804054,3946781,6
01010301804069,3946781,6
01010301804085,3946781,6
01010301804100,3946781,6
01010301804115,3946781,6
01010301804130,3946781,6
01010301804145,3946781,6
01010500204001,3933815,5
01010500204025,3933815,5
01010500204049,3933815,5
01010500204073,3933815,5
01010500204097,3933815,5
01010500204121,3933815,5
01010500204142,3933815,5
01010500204145,3933815,5
01010500204169,3933815,5
01010500204182,3933815,5
01010500204193,3933815,5
01010500204217,3933815,5
01010600402002,3959737,4
01010600402014,3959737,4
01010600402021,3959737,4
01010600402039,3959737,4
01010600402057,3959737,4
01010600402075,3959737,4
01010600402094,3959737,4
01010600402112,3959737,4
01010600402130,3959737,4
01010600402148,3959737,4
01010600402160,3959737,4
01010600402167,3959737,4
01020100207002,3925182,6
01020100207012,3925182,6
01020100207017,3925182,6
01020100207027,3925182,6
01020100207032,3925182,6
01020100207047,3925182,6
01020100207062,3925182,6
01020100207077,3925182,6
01020100207092,3925182,6
01020100207107,3925182,6
01020100207122,3925182,6
01020100207137,3925182,6
01020200802002,3925189,6
01020200802017,3925189,6
01020200802028,3925189,6
01020200802033,3925189,6
01020200802048,3925189,6
01020200802063,3925189,6
01020200802078,3925189,6
01020200802108,3925189,6
01020200802120,3925189,6
01020200802124,3925189,6
01020200802139,3925189,6
01020200802180,3925189,6
01020301001002,3933830,6
01020301001017,3933830,6
01020301001032,3933830,6
01020301001047,3933830,6
01020301001062,3933830,6
01020301001080,3933830,6
01020301001095,3933830,6
01020301001097,3933830,6
01020301001111,3933830,6
01020301001128,3933830,6
01020301001145,3933830,6
01020301001152,3933830,6
01020401702002,3933827,6
01020401702005,3933827,6
01020401702018,3933827,6
01020401702033,3933827,6
01020401702048,3933827,6
01020401702063,3933827,6
01020401702078,3933827,6
01020401702093,3933827,6
01020401702108,3933827,6
01020401702123,3933827,6
01020401702138,3933827,6
01020401702149,3933827,6
01020601301002,3942463,6
01020601301018,3942463,6
01020601301033,3942463,6
01020601301050,3942463,6
01020601301066,3942463,6
01020601301081,3942463,6
01020601301097,3942463,6
01020601301112,3942463,6
01020601301134,3942463,6
01020601301136,3942463,6
01020601301162,3942463,6
01020601301180,3942463,6
01020700101027,3946783,6
01020700101057,3946783,6
01020700101087,3946783,6
01020700101117,3946783,6
01020700101147,3946783,6
01020700101177,3946783,6
01020700101207,3946783,6
01020700101237,3946783,6
01020700101267,3946783,6
01020700101297,3946783,6
01020700101327,3946783,6
01020700101357,3946783,6
01020800603004,3955427,6
01020800603019,3955427,6
01020800603029,3955427,6
01020800603034,3955427,6
01020800603049,3955427,6
01020800603064,3955427,6
01020800603079,3955427,6
01020800603094,3955427,6
01020800603109,3955427,6
01020800603124,3955427,6
01020800603140,3955427,6
01020800603180,3955427,6
01020900602006,3955430,6
01020900602024,3955430,6
01020900602043,3955430,6
01020900602063,3955430,6
01020900602083,3955430,6
01020900602091,3955430,6
01020900602104,3955430,6
01020900602123,3955430,6
01020900602142,3955430,6
01020900602162,3955430,6
01020900602172,3955430,6
01020900602182,3955430,6
01030100204003,3916553,6
01030100204012,3916553,6
01030100204013,3916553,6
01030100204023,3916553,6
01030100204032,3916553,6
01030100204047,3916553,6
01030100204091,3916553,6
01030100204106,3916553,6
01030100204129,3916553,6
01030100204139,3916553,6
01030100204148,3916553,6
01030100204157,3916553,6
01030300605002,3929515,5
01030300605014,3929515,5
01030300605027,3929515,5
01030300605036,3929515,5
01030300605040,3929515,5
01030300605052,3929515,5
01030300605066,3929515,5
01030300605078,3929515,5
01030300605100,3929515,5
01030300605107,3929515,5
01030300605119,3929515,5
01030300605131,3929515,5
01030400101001,3925191,5
01030400101014,3925191,5
01030400101027,3925191,5
01030400101040,3925191,5
01030400101054,3925191,5
01030400101067,3925191,5
01030400101077,3925191,5
01030400101085,3925191,5
01030400101104,3925191,5
01030400101115,3925191,5
01030400101120,3925191,5
01030400101135,3925191,5
01030501202001,3938154,4
01030501202022,3938154,4
01030501202036,3938154,4
01030501202043,3938154,4
01030501202059,3938154,4
01030501202065,3938154,4
01030501202086,3938154,4
01030501202107,3938154,4
01030501202130,3938154,4
01030501202137,3938154,4
01030501202152,3938154,4
01030501202174,3938154,4
01030600608001,3951115,6
01030600608021,3951115,6
01030600608036,3951115,6
01030600608043,3951115,6
01030600608062,3951115,6
01030600608088,3951115,6
01030600608112,3951115,6
01030600608122,3951115,6
01030600608133,3951115,6
01030600608152,3951115,6
01030600608174,3951115,6
01030600608196,3951115,6
01030700116004,3946796,5
01030700116016,3946796,5
01030700116028,3946796,5
01030700116040,3946796,5
01030700116052,3946796,5
01030700116064,3946796,5
01030700116076,3946796,5
01030700116088,3946796,5
01030700116100,3946796,5
01030700116112,3946796,5
01030700116124,3946796,5
01030700116136,3946796,5
01030700709006,3946797,6
01030700709025,3946797,6
01030700709043,3946797,6
01030700709061,3946797,6
01030700709079,3946797,6
01030700709097,3946797,6
01030700709115,3946797,6
01030700709133,3946797,6
01030700709151,3946797,6
01030700709166,3946797,6
01030700709167,3946797,6
01030700709171,3946797,6
01040101204003,3981349,5
01040101204009,3981349,5
01040101204022,3981349,5
01040101204041,3981349,5
01040101204045,3981349,5
01040101204063,3981349,5
01040101204081,3981349,5
01040101204099,3981349,5
01040101204118,3981349,5
01040101204136,3981349,5
01040101204154,3981349,5
01040101204172,3981349,5
01040300109011,3981354,6
01040300109023,3981354,6
01040300109035,3981354,6
01040300109047,3981354,6
01040300109059,3981354,6
01040300109071,3981354,6
01040300109083,3981354,6
01040300109095,3981354,6
01040300109107,3981354,6
01040300109119,3981354,6
01040300109131,3981354,6
01040300109143,3981354,6
01040300404002,3977032,6
01040300404014,3977032,6
01040300404027,3977032,6
01040300404040,3977032,6
01040300404053,3977032,6
01040300404065,3977032,6
01040300404074,3977032,6
01040300404079,3977032,6
01040300404093,3977032,6
01040300404106,3977032,6
01040300404118,3977032,6
01040300404143,3977032,6
01040400103001,3989992,6
01040400103011,3989992,6
01040400103016,3989992,6
01040400103031,3989992,6
01040400103046,3989992,6
01040400103047,3989992,6
01040400103062,3989992,6
01040400103077,3989992,6
01040400103092,3989992,6
01040400103107,3989992,6
01040400103122,3989992,6
01040400103137,3989992,6
01040500701004,4002951,6
01040500701025,4002951,6
01040500701046,4002951,6
01040500701062,4002951,6
01040500701070,4002951,6
01040500701092,4002951,6
01040500701114,4002951,6
01040500701135,4002951,6
01040500701141,4002951,6
01040500701158,4002951,6
01040500701179,4002951,6
01040500701200,4002951,6
01040600803003,4011595,6
01040600803020,4011595,6
01040600803033,4011595,6
01040600803055,4011595,6
01040600803060,4011595,6
01040600803074,4011595,6
01040600803117,4011595,6
01040600803137,4011595,6
01040600803155,4011595,6
01040600803183,4011595,6
01040600803197,4011595,6
01040600803207,4011595,6
01040800402002,4011593,6
01040800402020,4011593,6
01040800402039,4011593,6
01040800402054,4011593,6
01040800402055,4011593,6
01040800402080,4011593,6
01040800402098,4011593,6
01040800402116,4011593,6
01040800402135,4011593,6
01040800402155,4011593,6
01040800402167,4011593,6
01040800402173,4011593,6
01050100105005,3933797,6
01050100105031,3933797,6
01050100105037,3933797,6
01050100105053,3933797,6
01050100105075,3933797,6
01050100105077,3933797,6
01050100105091,3933797,6
01050100105110,3933797,6
01050100105136,3933797,6
01050100105153,3933797,6
01050100105174,3933797,6
01050100105200,3933797,6
01050200201004,3938129,4
01050200201022,3938129,4
01050200201027,3938129,4
01050200201041,3938129,4
01050200201057,3938129,4
01050200201078,3938129,4
01050200201099,3938129,4
01050200201120,3938129,4
01050200201142,3938129,4
01050200201163,3938129,4
01050200201184,3938129,4
01050200201205,3938129,4
01050200712002,3955409,6
01050200712020,3955409,6
01050200712035,3955409,6
01050200712040,3955409,6
01050200712054,3955409,6
01050200712064,3955409,6
01050200712073,3955409,6
01050200712082,3955409,6
01050200712091,3955409,6
01050200712100,3955409,6
01050200712110,3955409,6
01050200712138,3955409,6
01050201503002,3955408,6
01050201503015,3955408,6
01050201503021,3955408,6
01050201503026,3955408,6
01050201503040,3955408,6
01050201503058,3955408,6
01050201503076,3955408,6
01050201503094,3955408,6
01050201503112,3955408,6
01050201503130,3955408,6
01050201503148,3955408,6
01050201503167,3955408,6
01050301501011,3964045,6
01050301501062,3964045,6
01050301501114,3964045,6
01050301501162,3964045,6
01050301501183,3964045,6
01050301501236,3964045,6
01050301501306,3964045,6
01050301501372,3964045,6
01050301501408,3964045,6
01050301501446,3964045,6
01050301501503,3964045,6
01050301501572,3964045,6
01050302304003,3964051,5
01050302304015,3964051,5
01050302304021,3964051,5
01050302304039,3964051,5
01050302304053,3964051,5
01050302304057,3964051,5
01050302304075,3964051,5
01050302304094,3964051,5
01050302304112,3964051,5
01050302304130,3964051,5
01050302304148,3964051,5
01050302304166,3964051,5
02010200102008,4050498,7
02010200102019,4050498,7
02010200102030,4050498,7
02010200102041,4050498,7
02010200102052,4050498,7
02010200102063,4050498,7
02010200102085,4050498,7
02010200102096,4050498,7
02010200102107,4050498,7
02010200102118,4050498,7
02010200102129,4050498,7
02010200102141,4050498,7
02010300102004,4059136,7
02010300102014,4059136,7
02010300102019,4059136,7
02010300102034,4059136,7
02010300102049,4059136,7
02010300102064,4059136,7
02010300102079,4059136,7
02010300102094,4059136,7
02010300102109,4059136,7
02010300102117,4059136,7
02010300102125,4059136,7
02010300102140,4059136,7
02010300601003,4067777,7
02010300601022,4067777,7
02010300601040,4067777,7
02010300601052,4067777,7
02010300601061,4067777,7
02010300601079,4067777,7
02010300601097,4067777,7
02010300601115,4067777,7
02010300601133,4067777,7
02010300601151,4067777,7
02010300601152,4067777,7
02010300601171,4067777,7
02010300802007,4067778,7
02010300802042,4067778,7
02010300802066,4067778,7
02010300802069,4067778,7
02010300802078,4067778,7
02010300802113,4067778,7
02010300802147,4067778,7
02010300802181,4067778,7
02010300802217,4067778,7
02010300802250,4067778,7
02010300802283,4067778,7
02010300802316,4067778,7
02010400201006,4067778,7
02010400201024,4067778,7
02010400201044,4067778,7
