household_id2,hc_seq_5m,res03_crav6190l_silr_cer
010101088801601002,3920854,4
010101088801601017,3920854,4
010101088801601034,3920854,4
010101088801601049,3920854,4
010101088801601064,3920854,4
010101088801601080,3920854,4
010101088801601087,3920854,4
010101088801601101,3920854,4
010101088801601116,3920854,4
010101088801601131,3920854,4
010101088801601146,3920854,4
010102088801403001,3929498,5
010102088801403011,3929498,5
010102088801403016,3929498,5
010102088801403026,3929498,5
010102088801403031,3929498,5
010102088801403036,3929498,5
010102088801403046,3929498,5
010102088801403061,3929498,5
010102088801403091,3929498,5
010102088801403106,3929498,5
010102088801403121,3929498,5
010102088801403136,3929498,5
010103010100106004,3933821,5
010103010100106016,3933814,6
010103010100106028,3925178,4
010103010100106040,3933821,5
010103010100106052,3933821,5
010103010100106064,3933821,5
010103010100106076,3933821,5
010103010100106088,3933821,5
010103010100106100,3933821,5
010103010100106112,3933821,5
010103010100106124,3933821,5
010103010100106136,3933821,5
010103088801804004,3946781,6
010103088801804019,3946781,6
010103088801804034,3946781,6
010103088801804049,3946781,6
010103088801804051,3946781,6
010103088801804054,3946781,6
010103088801804069,3946781,6
010103088801804085,3946781,6
010103088801804100,3946781,6
010103088801804115,3946781,6
010103088801804130,3946781,6
010103088801804145,3946781,6
010105088800204001,3933815,5
010105088800204025,3933815,5
010105088800204049,3933815,5
010105088800204073,3933815,5
010105088800204097,3933815,5
010105088800204121,3933815,5
010105088800204142,3933815,5
010105088800204145,3933815,5
010105088800204169,3933815,5
010105088800204193,3933815,5
010105088800204217,3933815,5
010106088800402002,3959737,4
010106088800402014,3959737,4
010106088800402021,3959737,4
010106088800402039,3959737,4
010106088800402057,3959737,4
010106088800402075,3959737,4
010106088800402094,3959737,4
010106088800402112,3959737,4
010106088800402130,3959737,4
010106088800402148,3959737,4
010106088800402160,3959737,4
010106088800402167,3959737,4
010107000100116104,3933819,4
010107010100116012,3933819,4
010107010100116035,3933819,4
010107010100116058,3933819,4
010107010100116081,3933819,4
010107010100116127,3933819,4
010107010100116150,3933819,4
010107010100116173,3933819,4
010107010100116196,3933819,4
010107010100116219,3933819,4
010107010100116242,3933819,4
010107010100116265,3933819,4
010107010100116288,3933819,4
010107010100116311,3933819,4
010107010100116334,3933819,4
010201088800207002,3925182,6
010201088800207012,3925182,6
010201088800207017,3925182,6
010201088800207027,3925182,6
010201088800207047,3925182,6
010201088800207062,3925182,6
010201088800207077,3925182,6
010201088800207092,3925182,6
010201088800207107,3925182,6
010201088800207122,3925182,6
010201088800207137,3925182,6
010202020100107008,3925189,6
010202020100107021,3925189,6
010202020100107034,3925189,6
010202020100107047,3925189,6
010202020100107060,3925189,6
010202020100107073,3925189,6
010202020100107086,3925189,6
010202020100107099,3925189,6
010202020100107112,3925189,6
010202020100107125,3925189,6
010202020100107138,3925189,6
010202020100107151,3925189,6
010202020100107164,3925189,6
010202020100107177,3925189,6
010202020100107190,3925189,6
010202088800802002,3925189,6
010202088800802017,3925189,6
010202088800802028,3925189,6
010202088800802033,3925189,6
010202088800802048,3925189,6
010202088800802063,3925189,6
010202088800802078,3925189,6
010202088800802108,3925189,6
010202088800802120,3925189,6
010202088800802124,3925189,6
010202088800802139,3925189,6
010203088801001002,3933830,6
010203088801001017,3933830,6
010203088801001032,3933830,6
010203088801001047,3933830,6
010203088801001062,3933830,6
010203088801001080,3933830,6
010203088801001095,3933830,6
010203088801001097,3933830,6
010203088801001111,3933830,6
010203088801001128,3933830,6
010203088801001145,3933830,6
010203088801001152,3933830,6
010204088801702002,3933827,6
010204088801702005,3933827,6
010204088801702018,3933827,6
010204088801702033,3933827,6
010204088801702048,3933827,6
010204088801702063,3933827,6
010204088801702078,3933827,6
010204088801702093,3933827,6
010204088801702108,3933827,6
010204088801702123,3933827,6
010204088801702138,3933827,6
010204088801702149,3933827,6
010206088801301002,3942463,6
010206088801301018,3942463,6
010206088801301033,3942463,6
010206088801301050,3942463,6
010206088801301066,3942463,6
010206088801301081,3942463,6
010206088801301097,3942463,6
010206088801301134,3942463,6
010206088801301136,3942463,6
010206088801301180,3942463,6
010207010100101027,3946783,6
010207010100101057,3933824,5
010207010100101087,3946783,6
010207010100101117,3946783,6
010207010100101177,3946783,6
010207010100101237,3946783,6
010207010100101297,3946783,6
010207010100101327,3946783,6
010208088800603004,3955427,6
010208088800603019,3955427,6
010208088800603029,3955427,6
010208088800603034,3955427,6
010208088800603049,3955427,6
010208088800603064,3955427,6
010208088800603079,3955427,6
010208088800603094,3955427,6
010208088800603109,3955427,6
010208088800603124,3955427,6
010208088800603140,3955427,6
010208088800603180,3959748,6
010209088800602006,3955430,6
010209088800602024,3955430,6
010209088800602043,3955430,6
010209088800602063,3955430,6
010209088800602083,3955430,6
010209088800602104,3955430,6
010209088800602123,3955430,6
010209088800602142,3955430,6
010209088800602162,3955430,6
010209088800602172,3968393,6
010209088800602182,3955430,6
010212010100416004,3933826,5
010212010100416016,3933826,5
010212010100416028,3933826,5
010212010100416040,3933826,5
010212010100416052,3933826,5
010212010100416064,3933826,5
010212010100416076,3933826,5
010212010100416088,3933826,5
010212010100416100,3933826,5
010212010100416112,3933826,5
010212010100416124,3933826,5
010212010100416136,3933826,5
010212010100416148,3933826,5
010212010100416160,3933826,5
010212010100416172,3933826,5
010301088800204003,3916553,6
010301088800204012,3916553,6
010301088800204013,3916553,6
010301088800204023,3916553,6
010301088800204032,3916553,6
010301088800204047,3916553,6
010301088800204091,3916553,6
010301088800204106,3916553,6
010301088800204129,3916553,6
010301088800204139,3916553,6
010301088800204148,3916553,6
010301088800204157,3916553,6
010303010100111002,3929514,5
010303010100111009,3929514,5
010303010100111016,3929514,5
010303010100111023,3929514,5
010303010100111030,3929514,5
010303010100111037,3929514,5
