hhid,hc_seq_5m,res03_crav6190l_silr_cer
01010140020171,4931709,4
01010140020284,4931709,4
01010140020297,4931709,4
01010140020409,4931709,4
01010140020471,4931709,4
01010140020551,4931709,4
01010140020761,4931709,4
01010140020762,4931709,4
01020030030004,5000840,4
01020030030022,5000840,4
01020030030140,5000840,4
01020030030161,5000840,4
01020030030174,5000840,4
01020030030200,5000840,4
01020030030430,5000840,4
01020030030479,5000840,4
01020170030001,5009478,4
01020170030017,5009478,4
01020170030022,5009478,4
01020170030048,5009478,4
01020170030100,5009478,4
01020170030209,5009478,4
01020170030241,5009478,4
01020170030246,5009478,4
01030130040161,4987877,4
01030130040219,4987877,4
01030130040259,4987877,4
01030130040346,4987877,4
01030130040468,4987877,4
01030130040685,4987877,4
01030130040739,4987877,4
01030130040745,4987877,4
01030133010068,4987877,4
01030133010092,4987877,4
01030133010175,4987877,4
01030133010188,4987877,4
01030133010300,4987877,4
01030133010322,4987877,4
01030133010411,4987877,4
01030133010652,4987877,4
01040173040004,4996510,2
01040173040017,4996510,2
01040173040022,4996510,2
01040173040034,4996510,2
01040173040041,4996510,2
01040173040086,4996510,2
01040173040092,4996510,2
01040173040094,4996510,2
01040310010030,4996508,3
01040310010102,4996508,3
01040310010174,4996508,3
01040310010180,4996508,3
01040310010462,4996508,3
01040310010482,4996508,3
01040310010745,4996508,3
01040310011128,4996508,3
01040380030347,4974902,6
01040380030396,4974902,6
01040380030460,4974902,6
01040380030693,4974902,6
01040380030768,4974902,6
01040380030854,4974902,6
01040380031057,4974902,6
01040380031108,4974902,6
01050090030114,4974910,5
01050090030347,4974910,5
01050090030396,4974910,5
01050090030460,4974910,5
01050090030599,4974910,5
01050090030693,4974910,5
01050090030768,4974910,5
01050090031057,4974910,5
01050100040151,4974911,3
01050100040166,4974911,3
01050100040272,4974911,3
01050100040335,4974911,3
01050100040403,4974911,3
01050100040480,4974911,3
01050100040517,4974911,3
01050100040692,4974911,3
01050290020161,4979226,4
01050290020224,4979226,4
01050290020322,4979226,4
01050290020557,4979226,4
01050290020649,4979226,4
01050290020690,4979226,4
01050290020691,4979226,4
01050290021238,4979226,4
02010100010148,4832351,4
02010100010263,4832351,4
02010100010297,4832351,4
02010100010336,4832351,4
02010100010511,4832351,4
02010100010558,4832351,4
02010100010656,4832351,4
02010100010785,4832351,4
02010110010048,4823711,3
02010110010206,4823711,3
02010110010209,4823711,3
02010110010246,4823711,3
02010110010259,4823711,3
02010110010300,4823711,3
02010110010304,4823711,3
02010110010305,4823711,3
02020113030006,4841002,4
02020113030055,4841002,4
02020113030086,4841002,4
02020113030090,4841002,4
02020113030116,4841002,4
02020113030155,4841002,4
02020113030158,4841002,4
02020113030193,4841002,4
02020120010059,4841002,4
02020120010185,4841002,4
02020120010214,4841002,4
02020120010216,4841002,4
02020120010217,4841002,4
02020120010223,4841002,4
02020120010498,4841002,4
02020120010586,4841002,4
02020243050088,4840999,3
02020243050148,4840999,3
02020243050176,4840999,3
02020243050217,4840999,3
02020243050283,4840999,3
02020243050297,4840999,3
02020243050317,4840999,3
02020243050336,4840999,3
02030090020044,4845320,3
02030090020115,4845320,3
02030090020193,4845320,3
02030090020317,4845320,3
02030090020483,4845320,3
02030090020628,4845320,3
02030090020685,4845320,3
02030090021156,4845320,3
02030103570003,4841000,3
02030103570004,4841000,3
02030103570038,4841000,3
02030103570039,4841000,3
02030103570060,4841000,3
02030103570078,4841000,3
02030103570083,4841000,3
02030103570124,4841000,3
02030130190001,4841000,3
02030130190008,4841000,3
02030130190044,4841000,3
02030130190068,4841000,3
02030130190101,4841000,3
02030130190153,4841000,3
02030130190155,4841000,3
02030130190229,4841000,3
02030140160006,4841000,3
02030140160050,4841000,3
02030140160054,4841000,3
02030140160055,4841000,3
02030140160086,4841000,3
02030140160090,4841000,3
02030140160091,4841000,3
02030140160114,4841000,3
02040010010036,4840989,5
02040010010225,4840989,5
02040010010296,4840989,5
02040010010301,4840989,5
02040010010327,4840989,5
02040010010391,4840989,5
02040010010585,4840989,5
02040010010729,4840989,5
02040010020178,4840988,4
02040010020279,4840988,4
02040010020312,4840988,4
02040010020416,4840988,4
02040010020448,4840988,4
02040010020554,4840988,4
02040010020792,4840988,4
02040010020800,4840988,4
02050020070028,4776188,4
02050020070042,4776188,4
02050020070044,4776188,4
02050020070115,4776188,4
02050020070124,4776188,4
02050020070175,4776188,4
02050020070193,4776188,4
02050020070355,4776188,4
02050100010080,4832344,4
02050100010083,4832344,4
02050100010111,4832344,4
02050100010126,4832344,4
02050100010162,4832344,4
02050100010261,4832344,4
02050100010293,4832344,4
02050100010307,4832344,4
03010060030028,4832371,4
03010060030044,4832371,4
03010060030112,4832371,4
03010060030115,4832371,4
03010060030175,4832371,4
03010060030193,4832371,4
03010060030317,4832371,4
03010060030419,4832371,4
03010120020097,4828051,4
03010120020225,4828051,4
03010120020368,4828051,4
03010120020404,4828051,4
03010120020676,4828051,4
03010120020709,4828051,4
03010120020794,4828051,4
03010120020870,4828051,4
03010140020148,4828051,4
03010140020263,4828051,4
03010140020297,4828051,4
03010140020336,4828051,4
03010140020511,4828051,4
03010140020558,4828051,4
03010140020656,4828051,4
03010140020785,4828051,4
03020040030028,4853971,5
03020040030146,4853971,5
03020040030315,4853971,5
03020040030324,4853971,5
03020040030333,4853971,5
03020040030356,4853971,5
03020040030378,4853971,5
03020040030393,4853971,5
03020073010008,4862612,4
03020073010019,4862612,4
03020073010034,4862612,4
03020073010042,4862612,4
03020073010064,4862612,4
03020073010076,4862612,4
03020073010080,4862612,4
03020073010086,4862612,4
03030140010018,4892856,4
03030140010046,4892856,4
03030140010187,4892856,4
03030140010240,4892856,4
03030140010278,4892856,4
03030140010316,4892856,4
03030140010319,4892856,4
03030140010359,4892856,4
03030233030011,4892853,5
03030233030014,4892853,5
03030233030022,4892853,5
03030233030038,4892853,5
03030233030048,4892853,5
03030233030052,4892853,5
03030233030055,4892853,5
03030233030064,4892853,5
03040020010044,4836690,5
03040020010115,4836690,5
03040020010175,4836690,5
03040020010193,4836690,5
03040020010419,4836690,5
03040020010483,4836690,5
03040020010628,4836690,5
03040020010936,4836690,5
03040140030081,4836688,5
03040140030089,4836688,5
03040140030297,4836688,5
03040140030320,4836688,5
03040140030326,4836688,5
03040140030495,4836688,5
03040140030585,4836688,5
03040140030650,4836688,5
03040310030024,4836689,5
03040310030114,4836689,5
03040310030119,4836689,5
03040310030159,4836689,5
03040310030172,4836689,5
03040310030210,4836689,5
03040310030240,4836689,5
03040310030270,4836689,5
03050040020068,4832366,5
03050040020092,4832366,5
03050040020175,4832366,5
03050040020188,4832366,5
03050040020300,4832366,5
03050040020322,4832366,5
03050040020411,4832366,5
03050040020652,4832366,5
03050100040105,4836684,4
03050100040219,4836684,4
03050100040351,4836684,4
03050100040470,4836684,4
03050100040574,4836684,4
03050100040685,4836684,4
03050100040708,4836684,4
03050100040803,4836684,4
03050130050028,4841005,4
03050130050042,4841005,4
03050130050044,4841005,4
03050130050103,4841005,4
03050130050115,4841005,4
03050130050124,4841005,4
03050130050175,4841005,4
03050130050231,4841005,4
04010150020006,4910143,6
04010150020030,4910143,6
04010150020158,4910143,6
04010150020399,4910143,6
04010150020412,4910143,6
04010150020440,4910143,6
04010150020454,4910143,6
04010150020543,4910143,6
04010270040121,4910139,4
04010270040350,4910139,4
04010270040487,4910139,4
04010270040854,4910139,4
04010270041189,4910139,4
04010270041200,4910139,4
04010270041343,4910139,4
04010270041421,4910139,4
04020040050044,4927422,4
04020040050112,4927422,4
04020040050115,4927422,4
04020040050124,4927422,4
04020040050193,4927422,4
04020040050317,4927422,4
04020040050419,4927422,4
04020040050483,4927422,4
04020083520002,4936061,4
04020083520009,4936061,4
04020083520015,4936061,4
04020083520016,4936061,4
04020083520023,4936061,4
04020083520029,4936061,4
04020083520035,4936061,4
04020083520050,4936061,4
04020120020084,4923101,5
04020120020087,4923101,5
04020120020187,4923101,5
04020120020226,4923101,5
04020120020287,4923101,5
04020120020300,4923101,5
04020120020329,4923101,5
04020120020403,4923101,5
04030090030009,4927423,4
04030090030030,4927423,4
04030090030041,4927423,4
04030090030070,4927423,4
04030090030107,4927423,4
04030090030168,4927423,4
04030090030270,4927423,4
04030090030399,4927423,4
04030340010054,4940384,4
04030340010065,4940384,4
04030340010077,4940384,4
04030340010093,4940384,4
04030340010157,4940384,4
04030340010176,4940384,4
04030340010202,4940384,4
04030340010351,4940384,4
04040240030050,4923109,
04040240030064,4923109,
04040240030075,4923109,
04040240030079,4923109,
04040240030096,4923109,
04040240030123,4923109,
04040240030129,4923109,
04040240030149,4923109,
04050020050005,4949027,5
04050020050006,4949027,5
04050020050024,4949027,5
04050020050045,4949027,5
04050020050047,4949027,5
04050020050048,4949027,5
04050020050056,4949027,5
04050020050060,4949027,5
04050100040016,4953346,4
04050100040035,4953346,4
04050100040045,4953346,4
04050100040050,4953346,4
04050100040084,4953346,4
04050100040088,4953346,4
04050100040110,4953346,4
04050100040148,4953346,4
04060030010044,4961978,3
04060030010285,4961978,3
04060030010347,4961978,3
04060030010351,4961978,3
04060030010396,4961978,3
04060030010895,4961978,3
04060030010941,4961978,3
04060030011083,4961978,3
04060170030055,4957661,3
04060170030114,4957661,3
04060170030116,4957661,3
04060170030168,4957661,3
04060170030303,4957661,3
04060170030328,4957661,3
04060170030347,4957661,3
04060170030407,4957661,3
04060190020176,4944696,4
04060190020339,4944696,4
04060190020446,4944696,4
04060190020532,4944696,4
04060190020547,4944696,4
04060190020604,4944696,4
04060190020673,4944696,4
04060190020786,4944696,4
04070110020032,4949010,4
04070110020039,4949010,4
04070110020123,4949010,4
04070110020130,4949010,4
04070110020190,4949010,4
04070110020261,4949010,4
04070110020314,4949010,4
04070110020324,4949010,4
05010080050261,5009486,4
05010080050358,5009486,4
05010080050729,5009486,4
05010080050769,5009486,4
05010080051229,5009486,4
