y2_hhid,hc_seq_5m,res03_crav6190l_silr_cer
0101014002017101,4931709,4
0101014002028401,4931709,4
0101014002029701,4931709,4
0101014002029704,5022471,4
0101014002040901,4931709,4
0101014002047101,4931709,4
0101014002055101,4931709,4
0101014002076101,4931709,4
0101014002076201,4931709,4
0102003003000401,5000840,4
0102003003002201,5000840,4
0102003003014001,5000840,4
0102003003016101,5000840,4
0102003003017401,5000840,4
0102003003017407,5026763,5
0102003003020001,5000840,4
0102003003043001,5000840,4
0102003003047901,5000840,4
0102017003000101,5009478,4
0102017003000104,5009476,4
0102017003001701,5009478,4
0102017003002201,5009478,4
0102017003004801,5009478,4
0102017003010001,5009478,4
0102017003020901,5013824,4
0102017003024101,5009478,4
0102017003024601,5009478,4
0103013004016101,4987877,4
0103013004021901,4987877,4
0103013004025901,4987877,4
0103013004034601,4987877,4
0103013004046801,4987877,4
0103013004068501,4987877,4
0103013004073901,4987877,4
0103013004074501,4987877,4
0103013301006801,4987877,4
0103013301009201,4987877,4
0103013301017501,4987877,4
0103013301018801,4987877,4
0103013301018803,4987877,4
0103013301030001,4987877,4
0103013301032201,4987877,4
0103013301041101,4987877,4
0103013301041102,4987877,4
0103013301065201,4987877,4
0104017304000401,4996510,2
0104017304001701,4996510,2
0104017304002201,4996510,2
0104017304003401,4996510,2
0104017304003406,4987892,4
0104017304003407,4996510,2
0104017304004102,4996510,2
0104017304008601,4996510,2
0104017304009201,4996510,2
0104017304009401,4996510,2
0104017304009402,4996510,2
0104031001003001,4996508,3
0104031001010201,4996508,3
0104031001017402,4996508,3
0104031001017403,4987869,3
0104031001018001,4996508,3
0104031001046201,5031070,4
0104031001048201,5026789,4
0104031001074501,4996508,3
0104031001074502,4996508,3
0104031001112801,4996508,3
0104031001112804,4996508,3
0104038003034701,4974902,6
0104038003039601,4974902,6
0104038003046001,4974902,6
0104038003069301,4974902,6
0104038003076801,4974902,6
0104038003076803,4974902,6
0104038003085401,4974902,6
0104038003105701,4974902,6
