hhid,clust,rural,strata,survey,svyCode,wave
0001-001,1114002,rural,1,2012/13,tza-nps-2012,wave 3
0002-001,1114002,rural,1,2012/13,tza-nps-2012,wave 3
0003-001,1114002,rural,1,2012/13,tza-nps-2012,wave 3
0003-010,1114002,urban,1,2012/13,tza-nps-2012,wave 3
0005-001,1114002,rural,1,2012/13,tza-nps-2012,wave 3
0006-001,1114002,rural,1,2012/13,tza-nps-2012,wave 3
0007-001,1114002,rural,1,2012/13,tza-nps-2012,wave 3
0008-001,1114002,rural,1,2012/13,tza-nps-2012,wave 3
0009-001,1114002,rural,1,2012/13,tza-nps-2012,wave 3
0010-001,1203003,rural,1,2012/13,tza-nps-2012,wave 3
0011-001,1203003,rural,1,2012/13,tza-nps-2012,wave 3
0011-004,1203003,rural,1,2012/13,tza-nps-2012,wave 3
0012-001,1203003,rural,1,2012/13,tza-nps-2012,wave 3
0013-001,1203003,rural,1,2012/13,tza-nps-2012,wave 3
0014-001,1203003,rural,1,2012/13,tza-nps-2012,wave 3
0014-007,1203003,rural,1,2012/13,tza-nps-2012,wave 3
0015-001,1203003,rural,1,2012/13,tza-nps-2012,wave 3
0016-001,1203003,rural,1,2012/13,tza-nps-2012,wave 3
0017-001,1203003,rural,1,2012/13,tza-nps-2012,wave 3
0018-001,1203003,rural,1,2012/13,tza-nps-2012,wave 3
0019-001,1217003,rural,1,2012/13,tza-nps-2012,wave 3
0019-003,1217003,rural,1,2012/13,tza-nps-2012,wave 3
0020-001,1217003,rural,1,2012/13,tza-nps-2012,wave 3
0021-001,1217003,rural,1,2012/13,tza-nps-2012,wave 3
0022-001,1217003,rural,1,2012/13,tza-nps-2012,wave 3
0023-001,1217003,rural,1,2012/13,tza-nps-2012,wave 3
0024-001,1217003,rural,1,2012/13,tza-nps-2012,wave 3
0025-001,1217003,rural,1,2012/13,tza-nps-2012,wave 3
0026-001,1217003,rural,1,2012/13,tza-nps-2012,wave 3
0027-001,1217003,rural,1,2012/13,tza-nps-2012,wave 3
0028-001,1313004,rural,1,2012/13,tza-nps-2012,wave 3
0029-001,1313004,rural,1,2012/13,tza-nps-2012,wave 3
0030-001,1313004,rural,1,2012/13,tza-nps-2012,wave 3
0031-001,1313004,rural,1,2012/13,tza-nps-2012,wave 3
0032-001,1313004,rural,1,2012/13,tza-nps-2012,wave 3
0033-001,1313004,rural,1,2012/13,tza-nps-2012,wave 3
0034-001,1313004,rural,1,2012/13,tza-nps-2012,wave 3
0034-003,1313004,urban,1,2012/13,tza-nps-2012,wave 3
0035-001,1313004,rural,1,2012/13,tza-nps-2012,wave 3
0036-001,1313301,rural,2,2012/13,tza-nps-2012,wave 3
0037-001,1313301,rural,2,2012/13,tza-nps-2012,wave 3
0038-001,1313301,rural,2,2012/13,tza-nps-2012,wave 3
0038-002,1313301,rural,2,2012/13,tza-nps-2012,wave 3
0039-001,1313301,rural,2,2012/13,tza-nps-2012,wave 3
0039-004,1313301,rural,2,2012/13,tza-nps-2012,wave 3
0040-001,1313301,rural,2,2012/13,tza-nps-2012,wave 3
0041-002,1313301,rural,2,2012/13,tza-nps-2012,wave 3
0041-006,1313301,rural,2,2012/13,tza-nps-2012,wave 3
0042-001,1313301,rural,2,2012/13,tza-nps-2012,wave 3
0043-001,1313301,rural,2,2012/13,tza-nps-2012,wave 3
0043-002,1313301,urban,2,2012/13,tza-nps-2012,wave 3
0044-001,1313301,rural,2,2012/13,tza-nps-2012,wave 3
0045-001,1313301,rural,2,2012/13,tza-nps-2012,wave 3
0046-001,1417304,rural,2,2012/13,tza-nps-2012,wave 3
0046-002,1417304,rural,2,2012/13,tza-nps-2012,wave 3
0047-001,1417304,rural,2,2012/13,tza-nps-2012,wave 3
0048-001,1417304,rural,2,2012/13,tza-nps-2012,wave 3
0048-002,1417304,rural,2,2012/13,tza-nps-2012,wave 3
0049-001,1417304,rural,2,2012/13,tza-nps-2012,wave 3
0051-001,1417304,rural,2,2012/13,tza-nps-2012,wave 3
0051-002,1417304,rural,2,2012/13,tza-nps-2012,wave 3
0051-003,1417304,rural,2,2012/13,tza-nps-2012,wave 3
0052-001,1417304,rural,2,2012/13,tza-nps-2012,wave 3
0053-001,1417304,rural,2,2012/13,tza-nps-2012,wave 3
0054-001,1417304,rural,2,2012/13,tza-nps-2012,wave 3
0055-001,1417304,rural,2,2012/13,tza-nps-2012,wave 3
0056-001,1417304,rural,2,2012/13,tza-nps-2012,wave 3
0057-001,1431001,rural,1,2012/13,tza-nps-2012,wave 3
0058-001,1431001,rural,1,2012/13,tza-nps-2012,wave 3
0059-001,1431001,rural,1,2012/13,tza-nps-2012,wave 3
0059-002,1431001,rural,1,2012/13,tza-nps-2012,wave 3
0060-001,1431001,rural,1,2012/13,tza-nps-2012,wave 3
0061-001,1431001,rural,1,2012/13,tza-nps-2012,wave 3
0062-001,1431001,rural,1,2012/13,tza-nps-2012,wave 3
0063-001,1431001,urban,1,2012/13,tza-nps-2012,wave 3
0064-001,1431001,rural,1,2012/13,tza-nps-2012,wave 3
0065-001,1431001,rural,1,2012/13,tza-nps-2012,wave 3
0066-001,1431001,rural,1,2012/13,tza-nps-2012,wave 3
0067-001,1431001,rural,1,2012/13,tza-nps-2012,wave 3
0068-001,1438003,rural,1,2012/13,tza-nps-2012,wave 3
0069-001,1438003,rural,1,2012/13,tza-nps-2012,wave 3
0070-001,1438003,rural,1,2012/13,tza-nps-2012,wave 3
0071-001,1438003,rural,1,2012/13,tza-nps-2012,wave 3
0072-001,1438003,rural,1,2012/13,tza-nps-2012,wave 3
0072-003,1438003,rural,1,2012/13,tza-nps-2012,wave 3
0073-002,1438003,rural,1,2012/13,tza-nps-2012,wave 3
0074-001,1438003,rural,1,2012/13,tza-nps-2012,wave 3
0075-001,1438003,rural,1,2012/13,tza-nps-2012,wave 3
0075-003,1438003,rural,1,2012/13,tza-nps-2012,wave 3
0076-001,1438003,rural,1,2012/13,tza-nps-2012,wave 3
